clave,cantidad,cantidad_se,cantidad_cv,cantidad_low,cantidad_upp
011111,1,0.254946992887929,0.254946992887929,1,2
011131,1,0.12752405238665,0.12752405238665,1,1.5
011132,0.5,0.0155420329849272,0.0310840659698544,0.5,0.561
011133,0.36,0.0101979869630828,0.028327741564119,0.36,0.4
011134,0.62,0.00509718241178204,0.00822126195448717,0.62,0.64
011135,0.207,0.00331365872659436,0.0160080131719534,0.2,0.213
011137,0.35,0.00892390450549416,0.0254968700156976,0.325,0.36
011150,0.22,0.00764834699818574,0.034765213628117,0.22,0.25
011192,0.36,0.0101906371278903,0.0283073253552509,0.36,0.4
011221,1,0.127464841151256,0.127464841151256,1,1.5
011224,0.75,0.0127450987599536,0.0169934650132714,0.75,0.8
01122F,1,0.0509686551322281,0.0509686551322281,1,1.2
011231,0.25,0.012737066333479,0.0509482653339161,0.25,0.3
011252,0.5,0.0637199233927968,0.127439846785594,0.5,0.75
011411,1,0.204016093481842,0.204016093481842,1,1.8
011433,0.26,0.0382351735932048,0.147058359973865,0.25,0.4
011451,0.25,0.0127463917978555,0.0509855671914219,0.25,0.3
011454,0.3,0.0382189413401698,0.127396471133899,0.25,0.4
011460,0.88,0.0433084960882483,0.0492142001002821,0.75,0.92
011481,1,0.0765094914986549,0.0765094914986549,1,1.3
011512,1,0.203893750690276,0.203893750690276,1,1.8
011592,0.25,0.0127306749403571,0.0509226997614283,0.25,0.3
011611,0.5,0.0254903324016116,0.0509806648032233,0.5,0.6
011616,1,0.0509634701284891,0.0509634701284891,1,1.2
011621,1,0.127454716283008,0.127454716283008,1,1.5
011633,1,0.091773265956163,0.091773265956163,1,1.36
011712,0.5,0.0254859120589102,0.0509718241178204,0.5,0.6
011721,1,0.12744834116665,0.12744834116665,1,1.5
011722,0.79,0.101855278760699,0.12893073260848,0.6,1
011725,0.25,0.012744532795305,0.0509781311812199,0.25,0.3
011727,1,0.0765089816876455,0.0765089816876455,1,1.3
011728,1,0.12737087928784,0.12737087928784,1,1.5
011729,1,0.254803422138012,0.254803422138012,1,2
011743,0.5,0.0369768878622019,0.0739537757244038,0.5,0.645
011746,0.6,0.0572908029121256,0.0954846715202094,0.525,0.75
011748,0.5,0.0509873590494508,0.101974718098902,0.5,0.7
011751,1,0.101998754009379,0.101998754009379,1,1.4
011761,1,0.203944633584229,0.203944633584229,1,1.8
011797,0.5,0.0203892704354492,0.0407785408708983,0.5,0.58
011810,1,0.254898101543729,0.254898101543729,1,2
011911,1,0.254754659135411,0.254754659135411,1,2
011942,0.1,0.00585988375077174,0.0585988375077174,0.1,0.123
012100,1,0.112097008406793,0.112097008406793,1,1.44
012201,0.085,0.0152801260091982,0.179766188343508,0.06,0.12
012501,20,4.58980060284634,0.229490030142317,20,38
012601,2,0.127515828292768,0.0637579141463842,2,2.5
012602,2,0.127420275168522,0.063710137584261,2,2.5
111111,1,0.254972071074869,0.254972071074869,1,2
111112,2,0.255012245528971,0.127506122764486,2,3
111113,2,0.254926162129635,0.127463081064817,2,3
111124,1.5,0.254961834433391,0.169974556288927,1,2
111126,1,0.12742352118547,0.12742352118547,1,1.5
181124,1,0.0509856911339203,0.0509856911339203,1,1.2
181125,1,0.0509656619474441,0.0509656619474441,1,1.2
181126,0.333,0.025493891938826,0.0765582340505286,0.3,0.4
181134,1,0.12740548779508,0.12740548779508,1,1.5
