cve_ent,pred,rural
1,7788.357496488592,1
2,15650.54741015942,1
3,12712.41984425668,1
4,10148.12275207165,1
5,8342.599705138779,1
6,8139.057507359351,1
7,7354.780004277374,1
8,10021.0503771682,1
9,11902.63638129094,1
10,7006.520520045591,1
11,7546.724290584347,1
12,6875.875710803697,1
13,7117.137863375649,1
14,8208.498465494908,1
15,8786.982009259167,1
16,7184.94505112031,1
17,7488.120062148374,1
18,8070.609497989262,1
19,9271.149401180175,1
20,7798.188303872034,1
21,7192.947598636484,1
22,10989.51403661704,1
23,11209.53448486791,1
24,8054.181856838699,1
25,10341.99618166361,1
26,10704.85773472238,1
27,8492.097895245166,1
28,7950.83304166474,1
29,5225.53282370819,1
30,7348.412418635102,1
31,8618.09319722757,1
32,6246.009298474701,1
33,8682.668321899448,1
1,11586.46028631499,0
2,23282.75841326715,0
3,18911.81134595449,0
4,15096.99847503656,0
5,12410.98655419884,0
6,12108.18412220674,0
7,10941.44259204374,0
8,14907.95745759862,0
9,17707.12551349273,0
10,10423.34944015602,0
11,11226.99122684684,0
12,10228.99384020098,0
13,10587.91089692649,0
14,12211.48894662497,0
15,13072.07817986617,0
16,10688.78521969409,0
17,11139.80781677743,0
18,12006.35647207622,0
19,13792.35665462169,0
20,11601.08522608978,0
21,10700.69032279539,0
22,16348.70613073057,0
23,16676.02266531252,0
24,11981.91765915904,0
25,15385.41702715767,0
26,15925.23315345151,0
27,12633.38965309672,0
28,11828.16933119763,0
29,7773.837880968806,0
30,10931.96976311964,0
31,12820.82834775597,0
32,9291.964155132713,0
33,13139.55621908288,0
